seed,stop_reason,elapsed_ms,rows,cols,circuit_qubits,call_limit,pass,platform,processor,python,qiskit
10,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,330.871,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
11,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,334.576,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
12,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,330.931,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
13,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,325.242,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
14,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,339.434,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
15,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,328.128,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
16,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,334.952,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
17,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,338.358,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
18,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,332.516,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
19,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,340.241,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
20,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,337.98,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
21,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,340.855,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
22,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,342.013,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
23,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,337.039,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
24,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,334.173,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
25,VF2PostLayoutStopReason.SOLUTION_FOUND,338.08,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
26,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,337.575,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
27,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,330.529,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
28,VF2PostLayoutStopReason.NO_BETTER_SOLUTION_FOUND,338.14,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
29,VF2PostLayoutStopReason.SOLUTION_FOUND,337.067,6,7,42,3000000,VF2PostLayout,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
